Team,ID
BRION,Morgan
BRION,UmTi
BRION,Karis
BRION,Hena
BRION,Effort
BRION,Edgar
BRION,Drinker
Dplus KIA,Canna
Dplus KIA,Canyon
Dplus KIA,ShowMaker
Dplus KIA,Deft
Dplus KIA,Kellin
Dplus KIA,Acorn
Dplus KIA,GorillA
DRX,Rascal
DRX,Croco
DRX,Juhan
DRX,FATE
DRX,deokdam
DRX,Pleata
DRX,BeryL
DRX,Micro
DRX,Shine
Gen.G,Doran
Gen.G,Peanut
Gen.G,Chovy
Gen.G,Peyz
Gen.G,Delight
Gen.G,Score
Gen.G,Mafa
Hanwha Life Esports,Kingen
Hanwha Life Esports,Clid
Hanwha Life Esports,ZEKA
Hanwha Life Esports,Viper
Hanwha Life Esports,Life
Hanwha Life Esports,DanDy
Hanwha Life Esports,Mowgli
KT Rolster,Kiin
KT Rolster,Cuzz
KT Rolster,Bdd
KT Rolster,Aiming
KT Rolster,Lehends
KT Rolster,Hirai
KT Rolster,RapidStar
KT Rolster,supreme
Kwangdong Freecs,DuDu
Kwangdong Freecs,YoungJae
Kwangdong Freecs,BuLLDoG
Kwangdong Freecs,Taeyoon
Kwangdong Freecs,Jun
Kwangdong Freecs,Moham
Kwangdong Freecs,cvMax
Kwangdong Freecs,Alvingo
Liiv SANDBOX,Burdol
Liiv SANDBOX,Willer
Liiv SANDBOX,Clozer
Liiv SANDBOX,Envyy
Liiv SANDBOX,Kael
Liiv SANDBOX,Ryu
Liiv SANDBOX,Lyn
Nongshim RedForce,DnDn
Nongshim RedForce,Sylvie
Nongshim RedForce,FIESTA
Nongshim RedForce,vital
Nongshim RedForce,Peter
Nongshim RedForce,Irean
Nongshim RedForce,Coco
T1,Zeus
T1,Oner
T1,Faker
T1,Gumayusi
T1,Keria
T1,Bengi
T1,Tom
