Champion,G,PB%,B,G,By,W,L,WR,K,D,A,KDA,CS,CS/M,G,G/M,DMG,DMG/M,KPAR,KS,GS,As
Ashe,164,96.5%,139,25,10,14,11,56%,0.72,2.36,7.88,3.64,87.44,2.63,9.1,275,12.6k,381,73.1%,6.1%,15.2%,
Caitlyn,162,95.3%,129,33,10,21,12,63.6%,3.15,1.7,4.58,4.55,250.18,7.68,13.2,406,16.1k,495,62.2%,25.4%,22.1%,
Lucian,150,88.2%,94,56,11,32,24,57.1%,3.18,1.7,3.79,4.11,302.71,9.57,14,442,20.9k,660,65.7%,30%,24.6%,
Maokai,144,84.7%,101,43,10,25,18,58.1%,1.56,2.23,6.6,3.66,165.95,5.09,10.5,323,18k,553,74.5%,14.2%,17.9%,
Sejuani,141,82.9%,43,98,13,43,55,43.9%,0.98,2.38,5.86,2.88,171.8,5.2,10.1,306,8.4k,254,70.6%,10.1%,17.4%,
Elise,133,78.2%,107,26,9,16,10,61.5%,2.65,2.08,5.46,3.91,170.77,5.36,10.8,340,12.9k,405,62.4%,20.4%,18.2%,
Renekton,131,77.1%,90,41,9,18,23,43.9%,2,2.34,3.39,2.3,270.93,8.68,12.4,396,12.9k,412,52.5%,19.5%,22.3%,
Varus,125,73.5%,54,71,11,36,35,50.7%,3.37,2.03,4.15,3.71,304.41,9.06,14.1,419,21.4k,636,67.3%,30.1%,23.4%,
Kassadin,115,67.6%,97,18,8,12,6,66.7%,4.39,1.78,4.28,4.88,299.11,9.38,13.7,431,18.8k,589,69%,35%,23.3%,
Jayce,113,66.5%,71,42,16,24,18,57.1%,3,2.6,3.67,2.57,283.6,9.04,13.3,422,21.7k,692,61.8%,27.8%,23.2%,
K'Sante,109,64.1%,48,61,11,29,32,47.5%,2,1.95,4.1,3.13,257.48,8.06,11.8,370,11.8k,371,57.2%,18.8%,21.1%,
Wukong,105,61.8%,32,73,10,33,40,45.2%,2.56,2.47,4.44,2.84,177.78,5.44,10.7,326,9.3k,286,67.8%,24.8%,18.5%,
Zeri,102,60%,17,85,10,39,46,45.9%,3.33,2.01,3.4,3.35,323.55,10.26,13.9,440,16.5k,522,68.3%,33.8%,25%,
Azir,101,59.4%,35,66,11,37,29,56.1%,2.33,2.32,3.76,2.63,289.45,8.9,12.8,395,20k,616,60.2%,23.1%,22.2%,
Jax,101,59.4%,55,46,10,23,23,50%,2.5,2.11,2.78,2.51,289.13,8.72,13.4,404,14.2k,428,50.7%,24%,22.4%,
Akali,100,58.8%,61,39,10,17,22,43.6%,4.44,2.41,3.18,3.16,291.03,8.54,13.5,396,17.9k,525,63.5%,37%,22.4%,
Vi,98,57.6%,35,63,9,32,31,50.8%,1.9,2.44,5.4,2.99,175.25,5.44,10.4,322,6.9k,215,67.5%,17.6%,18.2%,
Karma,94,55.3%,38,56,11,23,33,41.1%,0.68,2.55,6.79,2.92,42.34,1.26,8,238,7.4k,219,70.7%,6.4%,13.6%,
Sylas,92,54.1%,50,42,9,22,20,52.4%,2.64,2.12,4.64,3.44,288.21,8.87,13.2,406,15.4k,475,65.9%,23.9%,22.7%,
Gnar,90,52.9%,28,62,10,38,24,61.3%,1.9,2.08,4,2.84,286.61,8.58,13.1,392,16.5k,495,52%,16.8%,21.8%,
Ryze,74,43.5%,58,16,6,6,10,37.5%,2.06,1.81,2.88,2.72,287.19,9.3,12.1,392,14.1k,457,66.9%,28%,22.8%,
Lulu,71,41.8%,10,61,11,28,33,45.9%,0.33,1.85,7.25,4.09,21.1,0.67,7.2,230,3.8k,121,79.1%,3.4%,13.1%,
Yuumi,69,40.6%,45,24,8,10,14,41.7%,0.5,1.33,7.79,6.22,7.29,0.22,7.1,220,7.2k,223,85.4%,5.2%,12.9%,
Annie,58,34.1%,41,17,12,14,3,82.4%,2.82,1.76,7.82,6.03,170.35,5.1,11.5,344,15.1k,453,74.5%,19.8%,18.2%,
Nami,57,33.5%,1,56,10,32,24,57.1%,0.54,1.41,8.2,6.19,13.71,0.43,7.5,236,5.1k,162,84%,5.2%,13.2%,
Fiora,54,31.8%,25,29,9,15,14,51.7%,1.76,2.03,2.31,2,312.24,9.17,14,410,15.9k,466,41.8%,18.1%,22.9%,
Heimerdinger,51,30%,14,37,9,18,19,48.6%,0.92,2.51,5.32,2.48,34.19,1.03,8.3,251,10.5k,315,62.8%,9.2%,13.9%,
Viktor,44,25.9%,12,32,8,11,21,34.4%,1.59,2.22,3.56,2.32,290.69,8.78,12.4,375,23.8k,718,63%,19.5%,21.9%,
Gragas,39,22.9%,13,26,15,11,15,42.3%,1.12,1.85,4.46,3.02,239.88,8.03,10.7,358,15.1k,505,56.9%,11.4%,20.4%,
Ezreal,35,20.6%,5,30,10,14,16,46.7%,3.63,2,3.8,3.72,330.4,9.78,14.8,439,24.3k,720,63.2%,30.9%,24.6%,
LeBlanc,31,18.2%,19,12,7,7,5,58.3%,2.83,1.33,3.17,4.5,241.83,7.92,11.3,370,20.6k,674,53.7%,25.4%,21.1%,
Lee,Sin,26,15.3%,8,18,9,12,6,66.7%,3.11,2.44,5.22,3.41,185.11,6,10.8,349,8.8k,286,69.8%,26%,19%
Yone,26,15.3%,13,13,8,6,7,46.2%,2.92,2,2.38,2.65,291,9.52,12.6,414,14.7k,482,52.7%,29%,22.8%,
Syndra,24,14.1%,9,15,5,3,12,20%,2,2.33,2.93,2.11,276,8.63,11.8,369,16.8k,526,62.2%,25.2%,22%,
Sivir,22,12.9%,6,16,8,8,8,50%,2.63,1.56,4.31,4.44,342.25,10.59,14.1,438,20.7k,640,71.6%,27.1%,25%,
Jhin,21,12.4%,1,20,10,9,11,45%,2.9,1.5,4.5,4.93,239.35,7.25,12.3,372,14.1k,428,70.8%,27.8%,21%,
Taliyah,21,12.4%,4,17,7,9,8,52.9%,2.41,2.29,5.06,3.26,304.59,9,13.5,400,19.2k,567,68.3%,22%,22.3%,
Draven,21,12.4%,7,14,6,10,4,71.4%,4.07,1.79,4.71,4.92,306.5,9.27,16,483,16.7k,505,63.1%,29.2%,25.4%,
Lux,19,11.2%,2,17,7,11,6,64.7%,1.06,1.88,7.35,4.47,25.88,0.83,7.9,252,9.2k,296,76.9%,9.7%,13.8%,
Camille,19,11.2%,7,12,6,5,7,41.7%,2.25,2.58,2.5,1.84,256.92,8.29,11.9,385,13k,420,50%,23.7%,22%,
Sion,18,10.6%,1,17,7,7,10,41.2%,1.29,1.65,4,3.21,224.82,7.34,10.4,341,11.1k,364,54.9%,13.4%,19.6%,
Nautilus,18,10.6%,6,12,7,3,9,25%,1,2.92,5.58,2.26,36.33,1.19,7,230,4.2k,139,69.3%,10.5%,13.3%,
Irelia,15,8.8%,8,7,7,3,4,42.9%,3.57,3.14,3.14,2.14,334.71,9.64,14.6,421,17.4k,500,53.4%,28.4%,23.3%,
Viego,12,7.1%,2,10,7,6,4,60%,2.2,1.7,4.2,3.76,173.3,6.13,9.8,347,7.4k,260,57.1%,19.6%,19%,
